,year,state,district,winner,party,winning_ratio
0,1976,TN,1,James H. (Jimmy) Quillen,republican,0.415493041939649
0,1976,TN,2,John J. Duncan,republican,0.3719718272140543
0,1976,TN,3,Marilyn Lloyd,democrat,0.6844210665900502
0,1976,TN,4,"Albert Gore, Jr.",democrat,1.0
0,1976,TN,5,Clifford Allen,democrat,1.0
0,1976,TN,6,"Robin L. Beard, Jr.",republican,0.355422982130156
0,1976,TN,7,Ed Jones,democrat,1.0
0,1976,TN,8,Harold E. Ford,democrat,0.6120472699420068
0,1976,TX,1,"Sam B. Hall, Jr.",democrat,0.8371609839349979
0,1976,TX,2,Charles Wilson,democrat,1.0
0,1976,TX,3,James M. Collins,republican,0.25957919390872597
0,1976,TX,4,Ray Roberts,democrat,0.6272145683934894
0,1976,TX,5,Jim Mattox,democrat,0.5476691923471075
0,1976,TX,6,Olin E. Teague,democrat,0.6636798055101734
0,1976,TX,7,Bill Archer,republican,0.0
0,1976,TX,8,Bob Eckhardt,democrat,0.6073541052025617
0,1976,TX,9,Jack Brooks,democrat,1.0
0,1976,TX,10,J. J. Pickle,democrat,0.7682116988979992
0,1976,TX,11,W. R. Poage,democrat,0.5740398093636109
0,1976,TX,12,Jim Wright,democrat,0.7611977122350566
0,1976,TX,13,Jack Hightower,democrat,0.5948716150672604
0,1976,TX,14,John Young,democrat,0.6141937431502129
0,1976,TX,15,E (Kika) de la Garza,democrat,0.7436705885756022
0,1976,TX,16,Richard C. White,democrat,0.5778974874371859
0,1976,TX,17,Omar Burleson,democrat,1.0
0,1976,TX,18,Barbara Jordan,democrat,0.8593209797501234
0,1976,TX,19,George Mahon,democrat,1.0
0,1976,TX,20,Henry B. Gonzalez,democrat,1.0
0,1976,TX,21,Robert (Bob) Krueger,democrat,0.7266081729132419
0,1976,TX,22,Bob Gammage,democrat,0.500695013537204
0,1976,TX,23,"Abraha (Chick) Kazen, Jr.",democrat,1.0
0,1976,TX,24,Dale Milford,democrat,0.6373769431049623
0,1976,UT,1,Gunn McKay,democrat,0.5936194802668467
0,1976,UT,2,Dan Marriott,republican,0.43367658097203976
0,1976,VA,1,"Paul S. Trible, Jr.",republican,0.4942584608448164
0,1976,VA,2,G. William Whitehurst,republican,0.343117216268774
0,1976,VA,3,David E. Satterfield III,democrat,1.0
0,1976,VA,4,"Robert W. \\""Bob\""\"" Daniel, Jr.""",republican,0.4696996661375171
0,1976,VA,5,W. C. (Dan) Daniel,democrat,1.0
0,1976,VA,6,M. Caldwell Butler,republican,0.0
0,1976,VA,7,J. Kenneth Robinson,republican,0.0
0,1976,VA,8,Herbert E. Harris II,democrat,0.5477581691605143
0,1976,VA,9,William C. Wampler,republican,0.4265244102668203
0,1976,VA,10,Joseph L. Fisher,democrat,0.5848058430388314
0,1976,VT,0,James M. Jeffords,republican,0.32601537961659266
0,1976,WA,1,Joel Pritchard,republican,0.2644328956965718
0,1976,WA,2,Lloyd Meeds,democrat,0.5012656808989604
0,1976,WA,3,Don Bonker,democrat,0.7162666798214241
0,1976,WA,4,Mike McCormack,democrat,0.5850783813527947
0,1976,WA,5,Thomas S. Foley,democrat,0.5883172022259463
0,1976,WA,6,Norman D. Dicks,democrat,0.7437292119264918
0,1976,WA,7,Brock Adams,democrat,0.74212890223794
0,1976,WI,1,Les Aspin,democrat,0.655921074816103
0,1976,WI,2,Robert W. Kastenmeier,democrat,0.6560370050907369
0,1976,WI,3,Alvin J. Baldus,democrat,0.581205260320684
0,1976,WI,4,Clement J. Zablocki,democrat,1.0
0,1976,WI,5,Henry S. Reuss,democrat,0.7874909540817517
0,1976,WI,6,William A. Steiger,republican,0.36645993752724104
0,1976,WI,7,David R. Obey,democrat,0.7376354823991254
0,1976,WI,8,Robert J. Cornell,democrat,0.5200588224744893
0,1976,WI,9,"Robert W. Kasten, Jr.",republican,0.34087333046274204
0,1976,WV,1,Robert H. Mollohan,democrat,0.5803511485640934
0,1976,WV,2,Harley O. Staggers,democrat,0.7357249475042376
0,1976,WV,3,John M. Slack,democrat,1.0
0,1976,WV,4,Nick Joe Rahall II,democrat,0.7186459868620121
0,1976,WY,0,Teno Roncalio,democrat,0.564444122527458
